treatment_week,group,size,2019-12-01,2019-12-08,2019-12-15,2019-12-22,2019-12-29,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03
2020-01-12,treated,2261,-24.300625977129,-23.500312998936515,-28.797851329624624,-21.5311898898653,-27.094584326575344,-21.40862744384345,-10.395153085806365,-17.905634495035134,-26.86574393275952,-25.638555962194854,-42.73080225015209,-30.18025497852644,-25.83347001075471,-28.787484649038436,-26.875991947510947,-32.78316748402379,-33.55934895190665,-29.793220276795424,-31.66438751742836,-34.43258618369982,-30.94275630794921,-34.16742379017422,-31.731865674976483
2020-01-12,control,113945,-26.473601225277626,-24.991911446521893,-26.183462781259742,-21.52733709002631,-23.66739640166623,-19.941253234445245,-16.9224653334373,-19.311302970831093,-25.365317530194808,-23.68589494563416,-29.86956076933299,-26.580905037563852,-25.82510536112441,-25.0161153200042,-27.512133821148847,-36.218994276038536,-34.074959127797,-35.64363372717792,-35.38025423336888,-36.521166317948136,-34.016700071655336,-34.76351718160581,-34.48524452847735
2020-01-19,treated,49643,-28.27012886416033,-26.00285638942318,-28.352476148768357,-23.675101564720034,-25.42815012572615,-22.380333849664545,-17.094443370846236,-21.96021040297305,-27.71656549304066,-26.58907334010538,-34.06452828233026,-29.99817204108496,-28.508352057042973,-26.774207264056237,-28.819685920596182,-37.28684138817637,-35.131306585251274,-36.78446391890749,-36.99212983180914,-37.65221798554417,-35.396917357969514,-36.164776964139605,-35.31511762720282
2020-01-19,control,64302,-24.93328012409923,-24.145873988277113,-24.353654556924614,-19.648158678997074,-22.391948757942487,-18.429688456813313,-16.812830103721648,-17.28497535084477,-23.57231954855369,-21.27758770702865,-26.221307128140786,-23.67786784800836,-23.670651910133905,-23.531781249542803,-26.470178241901802,-35.38278777233134,-33.234355856055565,-34.729056083179195,-34.11170429829172,-35.63272145330766,-32.88700167635028,-33.636186420079866,-33.81975467352649
2020-01-26,treated,41774,-26.04785544579932,-24.464210268282656,-25.715897492019142,-20.675314336481705,-22.898947072198375,-19.4498477393536,-17.070910279382787,-18.730512258046794,-25.01428692076025,-22.947049377188236,-27.69526835551799,-24.943585759846336,-24.942096232850975,-24.679787212559802,-26.745761430133193,-36.20438426525231,-34.01968054105578,-35.19292674084514,-34.817009357908425,-36.18591836081514,-33.7228050968457,-33.741567495695165,-34.5330783895963
2020-01-26,control,22528,-23.136909623533636,-23.602018003968322,-21.99463714334847,-17.998798492072037,-21.784878056704844,-17.336921339816282,-16.525271783941893,-15.698333113518236,-21.243306376866407,-18.54809505095508,-23.93974091116915,-21.767097166071796,-21.76661170566306,-21.59547344233059,-26.021430352008483,-34.05453057970498,-31.949279098782384,-33.98105366887661,-32.99415292799741,-34.74654743714292,-31.536009875275646,-33.4658155621369,-32.64695671405373
2020-02-02,treated,6487,-23.328211659586735,-24.485535731258572,-23.32520694427809,-17.810515030141204,-21.57307961796824,-18.46705871103461,-15.899437879538848,-16.245078735313108,-20.460737047640986,-20.149104645672157,-30.093798658521987,-24.996156344261326,-22.39489950420828,-23.13938254727728,-27.489179451056106,-33.050512650520005,-32.31009745690513,-33.35917426780322,-33.30040775779143,-34.4433403235299,-31.673345675870486,-33.19169857664309,-34.190927609000774
2020-02-02,control,16041,-23.034951944977877,-23.132335319474322,-21.291117478489106,-18.10464611252702,-21.88453268415808,-16.823081833866553,-16.8244741291149,-15.435504523909982,-21.61131996782811,-17.52021866570822,-21.014467806274332,-20.28641850778255,-21.501466231543027,-20.8005761846264,-25.328382846389243,-34.515753440200484,-31.78180299820396,-34.27496321254264,-32.8518082078377,-34.88409877322247,-31.47202194340001,-33.59811225968732,-31.89052329574029
2020-02-09,treated,4538,-23.28795041394774,-24.513445942138645,-20.04537716724237,-21.839618115524857,-22.988518426018423,-17.66620177237851,-17.05512520821837,-16.43623290156904,-24.2186424022731,-18.993299729103704,-24.82233447556028,-25.560874782813563,-22.566262946175613,-23.75223931950839,-27.020237997882703,-34.87591536251709,-32.82228092371095,-35.85308505736571,-35.000087028670215,-34.161211490903334,-33.41109713713525,-35.3878758718954,-33.49200223171808
2020-02-09,control,11503,-22.902092413787,-22.431840555408808,-21.91398763411248,-16.19763659776887,-21.370361089202973,-16.455253347710066,-16.72196253840226,-14.974314755558215,-20.48540316039908,-17.01433161630531,-18.83492816912765,-18.28164779691103,-21.090444828001754,-19.3697570011372,-24.580871107264027,-34.35143011798995,-31.29853766860396,-33.5550137746346,-31.872021149508655,-35.220021422497595,-30.559723811070473,-32.73714101264983,-31.11209133060183
2020-02-16,treated,2621,-25.254668096131518,-22.880897138437735,-18.64394433572516,-17.348843322818084,-19.833352702480216,-16.77678685327939,-16.468253968253965,-16.613201260147825,-24.213939213939213,-20.923261390887294,-20.293857319879624,-25.348063818500833,-21.458582548846238,-17.026699702670577,-23.14937695118872,-35.6931561646843,-30.342531114613863,-33.595137940817,-30.91157201828597,-35.69579606229945,-31.080002360954996,-32.70454325180055,-33.35032398044985
2020-02-16,control,8882,-21.95829982106563,-22.243568777893746,-23.224158659262184,-15.750962752186743,-21.92995607911546,-16.340174582362078,-16.808731529233214,-14.476184518664386,-19.410207811626428,-16.139385982381153,-18.473221310554123,-15.907869012456432,-20.99390658524839,-20.22479651129509,-25.057824971020455,-33.928116420378544,-31.63822185185624,-33.54122206981274,-32.185929865976256,-35.06529060582563,-30.378457230299897,-32.748128631240114,-30.344768691290437
2020-02-23,treated,5440,-26.94267515923567,-28.128958076058392,-27.64207582860433,-21.57048020830072,-26.58776088107835,-18.536823113436014,-21.120185808544335,-18.67782029855683,-24.956992590289655,-24.756613756613756,-25.955555555555556,-21.537128712871283,-26.492121808446782,-24.873059540528935,-28.378292977009,-36.306211188171154,-34.58126217425441,-36.30116090591953,-34.76091849148989,-38.77999084831376,-33.73805430185138,-37.17402257263901,-34.126153566009336
2020-02-23,control,3442,-14.013660957180374,-12.615675515768023,-15.519417571764894,-7.947139917053956,-14.348874106097215,-12.864925113200973,-9.432142303995851,-8.220235960922704,-12.60447321671119,-9.829700373633429,-13.170779719608221,-11.554459902640959,-14.302682398525826,-13.364531119465328,-19.800417294871913,-29.78126077547339,-26.417751213455894,-28.854259693038443,-27.961030675374392,-28.467480882631307,-24.706640773968587,-25.551401928209106,-23.096087913531257
2020-03-01,treated,1177,-17.507275132275137,-18.625954198473288,-22.86139455782313,-10.681818181818183,-15.60310421286031,-17.522403795466523,-13.800675675675675,-8.604707012487992,-15.418586789554533,-13.41594827586207,-16.688255613126078,-12.762345679012347,-15.961347015353985,-15.89787722317843,-22.93407210073876,-33.8214990852918,-26.903129591688913,-31.056631922929377,-31.31900630843977,-28.396476831194935,-23.232578962730198,-27.98068999913262,-25.650394588349084
2020-03-01,control,2265,-12.088046844923426,-9.57572761061594,-11.78168383340797,-6.495841364262417,-13.733761254694269,-10.0848001729059,-7.102257839099946,-8.027444841134912,-11.211458913187942,-8.114216841020964,-11.634868300040464,-10.957427116150752,-13.454132050879341,-11.914408866995075,-18.19299850844279,-27.692986453394543,-26.181858920904418,-27.758276032179293,-26.490924807670158,-28.506707711047817,-25.446596405403728,-24.29023961053817,-21.719707123842465
2020-03-08,treated,1028,-13.694627192982455,-9.640672782874617,-17.579595158173124,-10.326688815060907,-14.353505291005291,-9.87222637746198,-9.076062826062827,-9.553357314148679,-12.621359223300974,-13.450647249190936,-15.914618535586278,-12.725225225225223,-16.619565217391308,-16.805891848264732,-22.686555582781995,-34.156617566810596,-31.0323157234922,-30.640762247253388,-33.190662973582825,-31.914415492756515,-29.14162444364687,-31.351575400544473,-27.260748510748506
2020-03-08,control,1237,-11.044812852677303,-9.528534118774635,-5.658655985758789,-4.175750654623894,-13.26504727765232,-10.239178860851865,-5.695007987283815,-7.002798301285088,-10.226918357651385,-4.174056754701915,-8.525362269526713,-9.659638821790525,-11.254586346052296,-8.558624031007751,-14.400665308761617,-23.44173914389942,-22.547510884383325,-25.57046101021171,-21.784942503463416,-25.992188293775598,-22.56107981016792,-19.32683691756272,-17.812562556152304
