treatment_week,size,2019-12-01,2019-12-08,2019-12-15,2019-12-22,2019-12-29,2020-01-05,2020-01-12,2020-01-19,2020-01-26,2020-02-02,2020-02-09,2020-02-16,2020-02-23,2020-03-01,2020-03-08,2020-03-15,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03
2020-01-12,2261,-24.300625977129,-23.500312998936515,-28.797851329624624,-21.5311898898653,-27.094584326575344,-21.40862744384345,-10.395153085806365,-17.905634495035134,-26.86574393275952,-25.638555962194854,-42.73080225015209,-30.18025497852644,-25.83347001075471,-28.787484649038436,-26.875991947510947,-32.78316748402379,-33.55934895190665,-29.793220276795424,-31.66438751742836,-34.43258618369982,-30.94275630794921,-34.16742379017422,-31.731865674976483
2020-01-19,49643,-28.27012886416033,-26.00285638942318,-28.352476148768357,-23.675101564720034,-25.42815012572615,-22.380333849664545,-17.094443370846236,-21.96021040297305,-27.71656549304066,-26.58907334010538,-34.06452828233026,-29.99817204108496,-28.508352057042973,-26.774207264056237,-28.819685920596182,-37.28684138817637,-35.131306585251274,-36.78446391890749,-36.99212983180914,-37.65221798554417,-35.396917357969514,-36.164776964139605,-35.31511762720282
2020-01-26,41774,-26.04785544579932,-24.464210268282656,-25.715897492019142,-20.675314336481705,-22.898947072198375,-19.4498477393536,-17.070910279382787,-18.730512258046794,-25.01428692076025,-22.947049377188236,-27.69526835551799,-24.943585759846336,-24.942096232850975,-24.679787212559802,-26.745761430133193,-36.20438426525231,-34.01968054105578,-35.19292674084514,-34.817009357908425,-36.18591836081514,-33.7228050968457,-33.741567495695165,-34.5330783895963
2020-02-02,6487,-23.328211659586735,-24.485535731258572,-23.32520694427809,-17.810515030141204,-21.57307961796824,-18.46705871103461,-15.899437879538848,-16.245078735313108,-20.460737047640986,-20.149104645672157,-30.093798658521987,-24.996156344261326,-22.39489950420828,-23.13938254727728,-27.489179451056106,-33.050512650520005,-32.31009745690513,-33.35917426780322,-33.30040775779143,-34.4433403235299,-31.673345675870486,-33.19169857664309,-34.190927609000774
2020-02-09,4538,-23.28795041394774,-24.513445942138645,-20.04537716724237,-21.839618115524857,-22.988518426018423,-17.66620177237851,-17.05512520821837,-16.43623290156904,-24.2186424022731,-18.993299729103704,-24.82233447556028,-25.560874782813563,-22.566262946175613,-23.75223931950839,-27.020237997882703,-34.87591536251709,-32.82228092371095,-35.85308505736571,-35.000087028670215,-34.161211490903334,-33.41109713713525,-35.3878758718954,-33.49200223171808
2020-02-16,2621,-25.254668096131518,-22.880897138437735,-18.64394433572516,-17.348843322818084,-19.833352702480216,-16.77678685327939,-16.468253968253965,-16.613201260147825,-24.213939213939213,-20.923261390887294,-20.293857319879624,-25.348063818500833,-21.458582548846238,-17.026699702670577,-23.14937695118872,-35.6931561646843,-30.342531114613863,-33.595137940817,-30.91157201828597,-35.69579606229945,-31.080002360954996,-32.70454325180055,-33.35032398044985
2020-02-23,5440,-26.94267515923567,-28.128958076058392,-27.64207582860433,-21.57048020830072,-26.58776088107835,-18.536823113436014,-21.120185808544335,-18.67782029855683,-24.956992590289655,-24.756613756613756,-25.955555555555556,-21.537128712871283,-26.492121808446782,-24.873059540528935,-28.378292977009,-36.306211188171154,-34.58126217425441,-36.30116090591953,-34.76091849148989,-38.77999084831376,-33.73805430185138,-37.17402257263901,-34.126153566009336
2020-03-01,1177,-17.507275132275137,-18.625954198473288,-22.86139455782313,-10.681818181818183,-15.60310421286031,-17.522403795466523,-13.800675675675675,-8.604707012487992,-15.418586789554533,-13.41594827586207,-16.688255613126078,-12.762345679012347,-15.961347015353985,-15.89787722317843,-22.93407210073876,-33.8214990852918,-26.903129591688913,-31.056631922929377,-31.31900630843977,-28.396476831194935,-23.232578962730198,-27.98068999913262,-25.650394588349084
2020-03-08,1028,-13.694627192982455,-9.640672782874617,-17.579595158173124,-10.326688815060907,-14.353505291005291,-9.87222637746198,-9.076062826062827,-9.553357314148679,-12.621359223300974,-13.450647249190936,-15.914618535586278,-12.725225225225223,-16.619565217391308,-16.805891848264732,-22.686555582781995,-34.156617566810596,-31.0323157234922,-30.640762247253388,-33.190662973582825,-31.914415492756515,-29.14162444364687,-31.351575400544473,-27.260748510748506
